"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"420007";"420007";"44";"6";"2";"986";"834";"11";"4";"819";"231";"24";"33";"43";"67";"53";"1";"69";"33";"3";"122";"85";"24";"31";"0";"-";"-"
"420008";"420008";"44";"6";"2";"2422";"2053";"31";"7";"2015";"704";"44";"65";"102";"171";"76";"6";"152";"89";"4";"320";"171";"65";"45";"1";"-";"-"
"420009";"420009";"44";"6";"2";"753";"616";"10";"3";"603";"173";"2";"22";"39";"29";"37";"6";"41";"40";"0";"99";"80";"20";"9";"6";"-";"-"
"420010";"420010";"44";"6";"2";"727";"636";"14";"6";"616";"187";"15";"20";"18";"44";"37";"3";"45";"16";"0";"111";"75";"25";"19";"1";"-";"-"
"420011";"420011";"44";"6";"2";"4496";"3850";"59";"18";"3773";"1209";"71";"174";"225";"243";"222";"11";"316";"134";"5";"532";"432";"120";"76";"3";"-";"-"
"420012";"420012";"44";"6";"2";"822";"727";"8";"2";"717";"232";"14";"37";"19";"42";"26";"5";"67";"17";"2";"130";"91";"19";"15";"1";"-";"-"
"420013";"420013";"44";"6";"2";"2553";"2122";"32";"9";"2081";"829";"14";"79";"101";"104";"78";"3";"131";"68";"6";"391";"218";"28";"27";"4";"-";"-"
"420014";"420014";"44";"6";"2";"530";"437";"16";"1";"420";"131";"3";"21";"18";"21";"21";"1";"31";"9";"1";"58";"68";"10";"26";"1";"-";"-"
"420015";"420015";"44";"6";"2";"1336";"1185";"15";"2";"1168";"382";"22";"66";"41";"83";"73";"5";"103";"35";"1";"189";"127";"18";"22";"1";"-";"-"
"420016";"420016";"44";"6";"2";"1447";"1246";"15";"0";"1231";"403";"32";"45";"53";"108";"89";"8";"103";"28";"1";"194";"109";"33";"23";"2";"-";"-"
"420017";"420017";"44";"6";"2";"1822";"1601";"19";"3";"1579";"558";"45";"74";"39";"152";"71";"5";"193";"30";"3";"200";"113";"60";"36";"0";"-";"-"
"420018";"420018";"44";"6";"2";"1188";"997";"22";"2";"973";"314";"16";"42";"81";"58";"35";"13";"80";"28";"2";"163";"107";"25";"9";"0";"-";"-"
